연도,소속기관,협력병원명,업무협력 기간,업무협력 내용
2024,인천병원,인하대병원,2006-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,가천대길병원,2005-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,고려대학교 구로병원,2008-03-현재,진료의뢰 및 회송 관련 등
2024,인천병원,건국대학교병원,2013-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,강동경희대병원,2015-03-현재,진료의뢰 및 회송 관련 등
2024,인천병원,순천향대학교 부천병원,2015-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,카톨릭대학교 서울성모병원(강남성모),2008-11-현재,진료의뢰 및 회송 관련 등
2024,인천병원,카톨릭대학교 인천성모병원,2015-05-현재,진료의뢰 및 회송 관련 등
2024,인천병원,한양대학교병원,2004-09-현재,진료의뢰 및 회송 관련 등
2024,인천병원,서울대학교병원,2008-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,카톨릭대학교 성빈센트병원,2023-09-현재,진료의뢰 및 회송 관련 등
2024,인천병원,고려대학교 구로병원,2018-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,카톨릭대학교 부천성모병원,2009-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,한림대학교 한강성심병원,2008-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,한림대학교 강남성심병원,2008-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,이대목동병원,2008-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,나은병원,2008-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,광명성애병원,2008-05-현재,진료의뢰 및 회송 관련 등
2024,인천병원,신촌연세병원,2008-05-현재,진료의뢰 및 회송 관련 등
2024,인천병원,명지병원,2008-12-현재,진료의뢰 및 회송 관련 등
2024,인천병원,국민건강보험공단 일산병원,2013-05-현재,진료의뢰 및 회송 관련 등
2024,인천병원,서남병원,2014-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,부천세종병원,2015-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,성민병원,2015-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,인천한림병원,2015-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,부평세림병원,2015-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,인천사랑병원,2015-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,메디플러스 세종병원,2018-02-현재,진료의뢰 및 회송 관련 등
2024,인천병원,경인의료재활센터병원,2020-09-현재,진료의뢰 및 회송 관련 등
2024,인천병원,인천세종병원,2021-11-현재,진료의뢰 및 회송 관련 등
2024,인천병원,다니엘 종합병원,2022-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,카톨릭대학교 의정부성모병원,2023-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,카톨릭관동대학교 국제성모병원,2023-03-현재,진료의뢰 및 회송 관련 등
2024,인천병원,인천백병원,2023-03-현재,진료의뢰 및 회송 관련 등
2024,인천병원,인천힘찬종합병원,2023-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,온누리병원,2015-03-현재,진료의뢰 및 회송 관련 등
2024,인천병원,고려수재활요양병원,2015-09-현재,진료의뢰 및 회송 관련 등
2024,인천병원,일산자애병원(자애요양병원),2011-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,부평힘찬병원,2015-09-현재,진료의뢰 및 회송 관련 등
2024,인천병원,예손병원,2015-09-현재,진료의뢰 및 회송 관련 등
2024,인천병원,가은병원,2015-09-현재,진료의뢰 및 회송 관련 등
2024,인천병원,삼육재활병원(SRC재활병원),2008-03-현재,진료의뢰 및 회송 관련 등
2024,인천병원,경기요양병원,2023-03-현재,진료의뢰 및 회송 관련 등
2024,인천병원,엘드림요양병원,2015-03-현재,진료의뢰 및 회송 관련 등
2024,인천병원,휴앤유병원,2009-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,부천요양병원,2015-05-현재,진료의뢰 및 회송 관련 등
2024,인천병원,이편안요양병원,2016-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,인일요양병원,2016-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,금강요양병원,2017-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,녹십초요양병원,2017-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,효민요양병원,2017-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,한마음요양병원,2017-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,인천봄뜰요양병원,2019-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,올림피아병원,2019-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,스마트허브병원,2019-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,대원한방병원,2020-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,가온요양병원,2020-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,더세인트요양병원,2020-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,서울센트럴요양병원,2020-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,정성요양병원,2020-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,서울요양병원,2020-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,스마튼병원,2020-10-현재,진료의뢰 및 회송 관련 등
2024,인천병원,서송병원,2021-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,새인천요양병원,2021-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,구월한방병원,2021-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,우성요양병원,2021-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,알엠병원,2021-01-현재,진료의뢰 및 회송 관련 등
2024,인천병원,위드미요양병원,2022-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,서울VIP 요양병원,2022-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,목동현대요양병원,2022-06-현재,진료의뢰 및 회송 관련 등
2024,인천병원,부천면력한방병원,2022-12-현재,진료의뢰 및 회송 관련 등
2024,인천병원,인천원광효도요양병원,2022-12-현재,진료의뢰 및 회송 관련 등
2024,인천병원,청라스퀘어병원,2022-12-현재,진료의뢰 및 회송 관련 등
2024,인천병원,남천병원,2022-12-현재,진료의뢰 및 회송 관련 등
2024,인천병원,서울제일요양병원,2022-12-현재,진료의뢰 및 회송 관련 등
2024,인천병원,라온휴한방병원,2022-12-현재,진료의뢰 및 회송 관련 등
2024,인천병원,아산유리요양병원,2022-12-현재,진료의뢰 및 회송 관련 등
2024,인천병원,경희요양병원,2023-04-현재,진료의뢰 및 회송 관련 등
2024,인천병원,부천 바른솔한방병원,2023-03-현재,진료의뢰 및 회송 관련 등
